

 ! The solution file is: Results/12Aug

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -14.002965    ,
 China       , -7.6730704    ,
 xAmericas   , -6.0369778    ,
 AdvancedAsia, -7.1089320    ,
 SouthAsia   , -6.9110460    ,
 xAsia       , -6.5712571    ,
 WEuroCndANZ , -7.0090117    ,
 MENA        , -5.5510678    ,
 SSA         , -6.4100718    ,
 RestofWorld , -5.9267983    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  46.185757    ,
 China       , 0.15657438    ,
 xAmericas   ,-0.58126324    ,
 AdvancedAsia, -3.3371081    ,
 SouthAsia   , -3.5009115    ,
 xAsia       , -2.5855246    ,
 WEuroCndANZ ,-0.65775537    ,
 MENA        , -2.5374672    ,
 SSA         ,-6.89670965E-02,
 RestofWorld , 0.38710257    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 ppm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.6696062    , -4.0020094    , -2.0104868    , -4.0731359    , -6.1027575    , -5.4522066    , -5.6452284    , -6.0563703    , -6.6196642    , -6.3113556    ,
 Extraction  , -1.6630692    , -2.0576744    ,-0.37108582    , -2.2390976    , -2.0810590    , -2.4492366    , -2.0158517    , -2.0646040    , -2.0801833    , -2.5094910    ,
 LightMnfc   , -5.5228496    , -6.8053255    , -7.5029097    , -6.7558079    , -6.0566134    , -6.1367245    , -6.2630420    , -6.0575047    , -5.9456921    , -5.7221732    ,
 HeavyMnfc   , -5.2344542    , -5.8261290    , -7.7600083    , -6.2936397    , -5.7007132    , -5.8038459    , -6.2237124    , -5.5377207    , -5.5638103    , -5.4479609    ,
 Energy      , -2.9160762    , -3.0200765    , -3.2599788    , -3.1625323    , -3.1041873    , -3.3020356    , -3.1643138    , -3.1196921    , -3.1206782    , -3.0759940    ,
 CMN         , -5.0077367    , -6.5047550    , -6.4149404    , -7.1512356    , -6.6751447    , -6.4970384    , -6.4694257    , -6.7413268    , -6.3744969    , -6.3895583    ,
 OBS         , -5.6003208    , -6.8141870    , -6.9857912    , -7.4071565    , -7.0408850    , -7.0199251    , -7.0284343    , -7.3552632    , -7.0568480    , -7.0704198    ,
 Trade       , -5.1061506    , -5.5491490    , -6.0319452    , -5.8941150    , -6.1644573    , -5.8275290    , -5.8279037    , -6.3315787    , -5.9782138    , -6.0708504    ,
 Transport   , -4.6536689    , -5.5359397    , -5.5251703    , -5.7878547    , -5.6255984    , -5.4537315    , -5.4884329    , -5.3905668    , -5.4531493    , -5.3546100    ,
 OthServices , -5.3965735    , -7.4095235    , -8.3011065    , -8.1576157    , -8.0729370    , -7.5992222    , -7.7121930    , -8.2184782    , -7.9441361    , -7.3050008    ,


 ! Variable qpm # private hhld demand for imports of i in region s #
 ! Variable qpm(TRAD_COMM:REG) of size 10x10
 
 qpm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  30.189283    , -8.1951523    , -7.0120201    , -7.0122628    , -10.330917    , -7.6008172    , -1.2705666    , -2.2428539    ,-0.59081495    , -2.0404932    ,
 Extraction  ,  74.635216    , -11.320047    , -5.4698181    , -10.191694    , -14.584576    , -6.4416461    , -3.3991759    , -4.4505572    ,-0.79050714    , -2.8260143    ,
 LightMnfc   ,  16.605190    , 0.83887923    ,  7.4578223    , -1.8407509    , -2.6677337    ,-0.49164248    ,-0.63338047    , 0.86319155    ,  1.7668794    ,  1.7208126    ,
 HeavyMnfc   ,  15.140861    , -1.4593914    ,  7.9942355    , -2.6963270    , -1.8274504    , -1.6759479    ,-0.80837935    ,-0.17245886    ,  1.1213207    ,  1.0945100    ,
 Energy      ,  29.383564    , -5.2055511    ,-9.30598155E-02, -6.6659799    , -7.2690020    , -4.2386246    , -4.1636901    , -2.8488781    , -1.7946945    , -2.0017304    ,
 CMN         ,  20.687279    ,-0.58206195    ,  2.7854958    , -1.5760332    , -1.9726495    ,-7.17977015E-03, 8.99930596E-02,  2.5112832    ,  2.3571327    ,  3.3389764    ,
 OBS         ,  25.571270    ,-0.92678863    ,  2.6089237    , -2.1688399    , -4.3582597    , -3.2419696    , 0.45249990    ,  1.2969691    , 0.73283345    ,  1.8269917    ,
 Trade       ,  21.155626    , -3.1848404    ,  1.6500595    , -4.4452486    , -3.2578385    , -2.8007026    , -1.6908002    ,  1.3942199    , 7.15548694E-02,  4.4992456    ,
